title,overview,rating,genre
my way,"during the invasion of normandy the photograph of a slim korean man in german uniform was found. it transpired that the man had served as a soldier in the japanese, russian and german armies. his incredible story inspired director kang je-gyu to create this epic war drama.",7.9,drama
wild tales,six deadly stories that explore the extremities of human behaviour involving distressed people seeking revenge.,7.9,drama
"spring, summer, fall, winter... and spring","an isolated lake, where an old monk lives in a small floating temple. the monk has a young boy living with him, learning to become a monk. we watch as seasons and years pass by.",7.9,drama
just mercy,"the powerful true story of harvard-educated lawyer bryan stevenson, who goes to alabama to defend the disenfranchised and wrongly condemned — including walter mcmillian, a man sentenced to death despite evidence proving his innocence. bryan fights tirelessly for walter with the system stacked against them.",7.9,drama
what ever happened to baby jane?,a former child star torments her paraplegic sister in their decaying hollywood mansion.,7.9,drama
raise the red lantern,"china in the 1920s. after her father's death, 19 year old songlian is forced to marry the much older lord of a powerful family. with three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. this competition gets out of hand.",7.9,drama
dallas buyers club,"loosely based on the true-life tale of ron woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with hiv/aids and given thirty days to live.",7.9,drama
throne of blood,"returning to their lord's castle, samurai warriors washizu and miki are waylaid by a spirit who predicts their futures. when the first part of the spirit's prophecy comes true, washizu's scheming wife, asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. director akira kurosawa's resetting of william shakespeare's ""macbeth"" in feudal japan is one of his most acclaimed films.",7.9,drama
cries and whispers,"as agnes slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. maria is wracked with guilt at her husband's attempted suicide, caused by his discovery of her extramarital affair. the self-loathing, suicidal karin seems to regard her sister with revulsion. only anna, the deeply religious maid who lost her young child, seems able to offer agnes solace and empathy.",7.9,drama
words on bathroom walls,"diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",7.9,drama
in the name of the father,"a small time thief from belfast, gerry conlon, is falsely implicated in the ira bombing of a pub that kills several people while he is in london. he and his four friends are coerced by british police into confessing their guilt. gerry's father and other relatives in london are also implicated in the crime. he spends fifteen years in prison with his father trying to prove his innocence.",7.9,drama
monster,"when her young son minato starts to behave strangely, his mother feels that there is something wrong. discovering that a teacher is responsible, she storms into the school demanding to know what's going on. but as the story unfolds through the eyes of mother, teacher and child, the truth gradually emerges.",7.9,drama
close to the horizon,jessica knows exactly what her life is supposed to look like and where it takes her. but then she meets danny. he has a complicated past and could confuse all their plans. jessica has to decide.,7.9,drama
